### START OF SIDE LOADING POSSIBLE HIJACK LIST - FORMAT (dllname, binary file)
(aclui.dll,C:\Windows\System32\shrpubw.exe)
(activeds.dll,C:\Windows\System32\applysettingstemplatecatalog.exe)
(activeds.dll,C:\Windows\System32\agentservice.exe)
(adsldpc.dll,C:\Windows\System32\agentservice.exe)
(adsldpc.dll,C:\Windows\System32\netsh.exe)
(adsldpc.dll,C:\Windows\System32\sppextcomobj.exe)
(aepic.dll,C:\Windows\System32\psr.exe)
(apphelp.dll,C:\Windows\System32\compmgmtlauncher.exe)
(apphelp.dll,C:\Windows\System32\sdbinst.exe)
(appvpolicy.dll,C:\Windows\System32\appvclient.exe)
(appxalluserstore.dll,C:\Windows\System32\lpremove.exe)
(appxdeploymentclient.dll,C:\Windows\System32\lpremove.exe)
(appxdeploymentclient.dll,C:\Windows\System32\systemsettingsadminflows.exe)
(archiveint.dll,C:\Windows\System32\tar.exe)
(atl.dll,C:\Windows\System32\msconfig.exe)
(atl.dll,C:\Windows\System32\msdt.exe)
(atl.dll,C:\Windows\System32\msinfo32.exe)
(atl.dll,C:\Windows\System32\perfmon.exe)
(atl.dll,C:\Windows\System32\quickassist.exe)
(atl.dll,C:\Windows\System32\vds.exe)
(atl.dll,C:\Windows\System32\vdsldr.exe)
(atl.dll,C:\Windows\System32\vssadmin.exe)
(atl.dll,C:\Windows\System32\wfs.exe)
(audioses.dll,C:\Windows\System32\osk.exe)
(auditpolcore.dll,C:\Windows\System32\auditpol.exe)
(authfwcfg.dll,C:\Windows\System32\netsh.exe)
(authz.dll,C:\Windows\System32\easinvoker.exe)
(authz.dll,C:\Windows\System32\vssvc.exe)
(authz.dll,C:\Windows\System32\whoami.exe)
(avrt.dll,C:\Windows\System32\osk.exe)
(batmeter.dll,C:\Windows\System32\mblctr.exe)
(bcd.dll,C:\Windows\System32\bootim.exe)
(bcd.dll,C:\Windows\System32\cidiag.exe)
(bcd.dll,C:\Windows\System32\genvalobj.exe)
(bcd.dll,C:\Windows\System32\mdsched.exe)
(bcd.dll,C:\Windows\System32\msconfig.exe)
(bcd.dll,C:\Windows\System32\recdisc.exe)
(bcd.dll,C:\Windows\System32\recoverydrive.exe)
(bcd.dll,C:\Windows\System32\resetengine.exe)
(bcd.dll,C:\Windows\System32\rstrui.exe)
(bcd.dll,C:\Windows\System32\sdclt.exe)
(bcd.dll,C:\Windows\System32\srtasks.exe)
(bcd.dll,C:\Windows\System32\systempropertiesadvanced.exe)
(bcd.dll,C:\Windows\System32\systempropertiescomputername.exe)
(bcd.dll,C:\Windows\System32\systempropertiesdataexecutionprevention.exe)
(bcd.dll,C:\Windows\System32\systempropertieshardware.exe)
(bcd.dll,C:\Windows\System32\systempropertiesprotection.exe)
(bcd.dll,C:\Windows\System32\systempropertiesremote.exe)
(bcd.dll,C:\Windows\System32\systemreset.exe)
(bcd.dll,C:\Windows\System32\vds.exe)
(bcd.dll,C:\Windows\System32\vdsldr.exe)
(bcd.dll,C:\Windows\System32\vssvc.exe)
(bcd.dll,C:\Windows\System32\wbengine.exe)
(bcp47langs.dll,C:\Windows\System32\lpremove.exe)
(bcp47langs.dll,C:\Windows\System32\systemsettingsadminflows.exe)
(bcp47mrm.dll,C:\Windows\System32\mcbuilder.exe)
(bderepair.dll,C:\Windows\System32\repair-bde.exe)
(bootmenuux.dll,C:\Windows\System32\bootim.exe)
(bootux.dll,C:\Windows\System32\bootim.exe)
(cabinet.dll,C:\Windows\System32\bootim.exe)
(cabinet.dll,C:\Windows\System32\certutil.exe)
(cabinet.dll,C:\Windows\System32\cmdl32.exe)
(cabinet.dll,C:\Windows\System32\expand.exe)
(cabinet.dll,C:\Windows\System32\extrac32.exe)
(cabinet.dll,C:\Windows\System32\iesettingsync.exe)
(cabinet.dll,C:\Windows\System32\licensingdiag.exe)
(cabinet.dll,C:\Windows\System32\makecab.exe)
(cabinet.dll,C:\Windows\System32\msdt.exe)
(cabinet.dll,C:\Windows\System32\musnotification.exe)
(cabinet.dll,C:\Windows\System32\musnotificationux.exe)
(cabinet.dll,C:\Windows\System32\netsh.exe)
(cabinet.dll,C:\Windows\System32\plasrv.exe)
(cabinet.dll,C:\Windows\System32\pnputil.exe)
(cabinet.dll,C:\Windows\System32\reagentc.exe)
(cabinet.dll,C:\Windows\System32\recdisc.exe)
(cabinet.dll,C:\Windows\System32\relpost.exe)
(cabinet.dll,C:\Windows\System32\resetengine.exe)
(cabinet.dll,C:\Windows\System32\sdclt.exe)
(cabinet.dll,C:\Windows\System32\sihclient.exe)
(cabinet.dll,C:\Windows\System32\systemreset.exe)
(cabinet.dll,C:\Windows\System32\usocoreworker.exe)
(cabinet.dll,C:\Windows\System32\wextract.exe)
(cabinet.dll,C:\Windows\System32\wimserv.exe)
(cabinet.dll,C:\Windows\System32\wpnpinst.exe)
(certcli.dll,C:\Windows\System32\certreq.exe)
(certcli.dll,C:\Windows\System32\certutil.exe)
(certenroll.dll,C:\Windows\System32\certenrollctrl.exe)
(certenroll.dll,C:\Windows\System32\dmcertinst.exe)
(cldapi.dll,C:\Windows\System32\compmgmtlauncher.exe)
(cldapi.dll,C:\Windows\System32\dpiscaling.exe)
(cldapi.dll,C:\Windows\System32\psr.exe)
(cldapi.dll,C:\Windows\System32\resmon.exe)
(cldapi.dll,C:\Windows\System32\sdclt.exe)
(cldapi.dll,C:\Windows\System32\slui.exe)
(cldapi.dll,C:\Windows\System32\workfolders.exe)
(cldapi.dll,C:\Windows\System32\write.exe)
